nome_pc,cpu_modelo,cpu_temp,cpu_uso,cpu_energia,ram_uso,ram_utilizada,ram_livre,
GUSNAWEB,Intel Core i5-8350U,85.0,11.1,16.8,90.4,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,90.0,11.8,16.0,90.3,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,82.0,11.7,15.3,90.3,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,89.0,11.9,14.5,90.3,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,88.0,15.2,17.5,90.6,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,88.0,15.2,17.5,90.6,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,83.0,13.4,20.0,90.5,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,84.0,13.1,24.2,90.5,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,90.0,11.6,20.1,90.6,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,88.0,11.7,18.3,90.6,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,78.0,11.0,15.6,90.5,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,89.0,11.1,14.9,90.4,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,86.0,12.6,16.0,90.4,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,88.0,10.7,14.8,90.4,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,88.0,10.7,20.1,90.5,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,85.0,10.3,18.1,90.5,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,89.0,10.7,17.1,90.5,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,89.0,11.7,17.1,90.5,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,87.0,12.3,13.9,90.5,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,88.0,12.8,15.0,90.5,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,85.0,13.6,20.5,90.5,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,88.0,12.0,21.5,90.6,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,89.0,10.7,21.6,91.3,7.2,0.7,
GUSNAWEB,Intel Core i5-8350U,91.0,11.9,18.3,91.2,7.2,0.7,
GUSNAWEB,Intel Core i5-8350U,90.0,10.3,18.1,91.2,7.2,0.7,
GUSNAWEB,Intel Core i5-8350U,90.0,11.8,18.2,91.2,7.2,0.7,
GUSNAWEB,Intel Core i5-8350U,89.0,12.9,17.6,91.2,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,85.0,14.1,18.9,91.0,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,81.0,13.3,17.7,91.0,7.1,0.7,
